location,latitude,longitude
Barton Hall,42.446,-76.4806
Mary Donlon Hall,42.455,-76.4777
The Cornell Store,42.4467,-76.4846
Bartels Hall,42.4457,-76.4762
Clara Dickson Hall,42.4547,-76.4794
Cascadilla Hall,42.4425,-76.4867
George Jameson Hall,42.4557,-76.4782
Stewart Avenue,42.4478,-76.4903294
Teagle Hall,42.4458,-76.4791
Mews Hall,42.4547,-76.4767
2 Forest Park Lane (former Psi Upsilon fraternity),42.44667,-76.48856
College Avenue,42.4415234,-76.48524
Robert Purcell Community Center,42.4559,-76.4774
Alice Cook House,42.44898,-76.48961
Helen Newman Hall,42.453,-76.4774
800 University Avenue (Theta Delta Chi fraternity),42.450078,-76.4877
Eddy Gate,42.4418,-76.4861
Founders Hall,42.4484,-76.488
Malott Hall,42.4482,-76.4802
623 University Avenue (Von Cramm Hall),42.4489501,-76.4913179
Arts Quad,42.4489,-76.4841
107 Edgemoor Lane,42.443871,-76.488796
Townhouse D,42.4572427,-76.4763189
Thurston Avenue,42.4536019,-76.4857564
Carl Becker House,42.448204,-76.4894583
Olin Library,42.447905,-76.484293
P&C Fresh,42.437868,-76.4644789
Appel Commons,42.4535626,-76.4760882
109 McGraw Place (Sigma Phi Epsilon fraternity),42.4501221,-76.4887949
Statler Hotel,42.446388,-76.48231
Performing Arts Center,42.4424328,-76.4859273
Willard Straight Hall,42.4465919,-76.4856765
Buffalo Street,42.441474,-76.4932659
Bradfield Hall,42.4478832,-76.4757533
Anna Comstock,42.4538784,-76.4823576
Botanic Gardens,42.4496189,-76.4728445
Thurston Ave. Bridge,42.451626,-76.481905
Biotech,42.4465542,-76.4783618
14 South Avenue (Phi Sigma Sigma sorority),42.4450702,-76.4879482
Bauer Hall,42.4537801,-76.4784505
Snee Hall,42.4436527,-76.4849379
Eddy Street,42.440253,-76.4874059
Economy Inn,42.409102,-76.54125
Duffield Hall,42.4445945,-76.4823142
Bard Hall,42.4438829,-76.4840519
730 University Avenue (Sigma Pi fraternity),42.4438829,-76.4840519
13 South Avenue,42.444564,-76.487129
East Ithaca Rec. Trail,42.4415802,-76.4617936
Schoellkopf Field,42.4439016,-76.4785398
Short Line Bus,42.4396411,-76.5110657
State Route 366,42.4534881,-76.4431309
Ellis Hollow Creek Road,42.4385877,-76.4052228
Ellis Hollow Road,42.4272639,-76.4108106
Forest Park Lane,42.4461824,-76.4884527
112 Edgemoor Lane,42.4441049,-76.4884474
Goldwin Smith Hall,42.4490982,-76.4835079
Gorge Restricted Area,42.4428919,-76.4844973
West Avenue,42.4467699,-76.487612
High Rise 5,42.2462,-76.4768
Hans Bethe House,42.4470304,-76.4885185
Hasbrouck Apartments,42.4563388,-76.471898
Dryden Road,42.4536184,-76.4426755
Dearborn Place,42.456099,-76.4825701
Baldwin Memorial Stairs,42.4463217,-76.4929551
Crescent Parking Lot,42.44701,-76.48327
Court Hall,42.4541561,-76.4779329
Baker South,42.4485164,-76.4883362
625 University Avenue (Alice Cook House),42.4489739,-76.4906161
Collyer Boat House,42.4469561,-76.5110421
Baker Lab Bike Rack,42.4506056,-76.4820468
McGraw Tower Area,42.4476,-76.4851
McFadden Hall,42.4472,-76.488
Bailey Hall,42.4492241,-76.4801547
120 Maple Avenue,42.441601,-76.475808
Mary Ann Wood Drive,42.4458491,-76.4887956
Central Heating Plant,42.4432263,-76.4762159
MVR Hall,42.4494006,-76.4782639
Cayuga Heights Road,42.4766371,-76.4989472
Lyon Hall,42.4235749,-76.4917773
Myron Taylor Hall,42.4444,-76.4861
Cascadilla Place,42.4444145,-76.5054285
Low Rise 7,42.4561924,-76.4753687
Plant Science,42.4561924,-76.4753687
Pleasant Grove Road,42.4609436,-76.4757282
Risley Hall,42.45309,-76.4818905
Sage Chapel,42.447206,-76.4844211
Schoellkopf Stadium,42.4439016,-76.4785398
534 Thurston Avenue (Zeta Psi fraternity),42.4540906,-76.4818604
Sisson Place,42.4554318,-76.4778904
Low Rise 6,42.4562879,-76.4760578
Klarman Hall,42.4490723,-76.4831324
Statler Hall,42.4454727,-76.4820679
Keeton House,42.4467188,-76.4894964
Stevenson Road,42.444123,-76.438726
Jessup Road,42.4429001,-76.4940396
Cascadilla Gorge Trail,42.4429001,-76.4940396
Appel Commons Mail Room,42.4295768,-76.4672841
Ithaca Police Department,42.4295768,-76.4672841
Ithaca College Public Safety,42.4295768,-76.4672841
Honness Lane,42.4295768,-76.4672841
Triphammer Road,42.4616595,-76.4829034
University Avenue,42.4492981,-76.4884367
Wait Avenue,42.4546768,-76.4826291
Highland Road,42.467462,-76.4915575
White Hall,42.4502416,-76.4853705
Campus Road,42.445261,-76.47543
112 Sage Place,42.440023,-76.49186
Oxley Equestrian Center,42.4337,-76.4642
Parking Garage,42.444,-76.4796
Just About Music (JAM),42.4549,-76.4761
Holland International Living Center,42.4556,-76.4759